,Date,Precipitation,Air Temperature,Relative Humidity,Wind Speed ,lag_f1
300,2019-11-23 18:00,0.0,15.2,100.0,0.5,0.0
301,2019-11-23 19:00,0.0,15.1,100.0,1.0,0.0
302,2019-11-23 20:00,0.0,14.7,100.0,1.1,0.0
303,2019-11-23 21:00,0.0,14.5,100.0,0.8,0.0
304,2019-11-23 22:00,0.0,13.5,100.0,0.4,0.0
305,2019-11-23 23:00,0.0,13.9,100.0,0.5,0.0
306,2019-11-24 00:00,0.0,14.6,100.0,0.6,0.0
307,2019-11-24 01:00,0.0,14.5,100.0,0.8,0.0
308,2019-11-24 02:00,0.0,14.7,100.0,0.8,0.0
309,2019-11-24 03:00,0.0,15.1,100.0,0.9,0.0
310,2019-11-24 04:00,0.0,16.1,100.0,1.2,0.0
311,2019-11-24 05:00,0.0,17.9,94.4,1.4,0.0
312,2019-11-24 06:00,0.0,19.8,74.9,1.6,0.0
313,2019-11-24 07:00,0.0,20.9,69.2,2.0,0.0
314,2019-11-24 08:00,0.0,21.2,70.3,2.1,0.0
315,2019-11-24 09:00,0.0,21.9,52.85,2.35,0.0
316,2019-11-24 10:00,0.0,21.0,57.1,2.05,0.0
317,2019-11-24 11:00,0.0,19.55,63.9,1.5,0.0
318,2019-11-24 12:00,0.0,17.5,75.0,1.25,0.0
319,2019-11-24 13:00,0.0,17.9,100.0,1.5,0.0
320,2019-11-24 14:00,0.0,17.1,100.0,0.9,0.0
321,2019-11-24 15:00,0.0,16.3,100.0,0.7,0.0
322,2019-11-24 16:00,0.0,15.9,100.0,1.0,0.0
323,2019-11-24 17:00,0.0,15.5,100.0,1.2,0.0
324,2019-11-24 18:00,0.0,15.0,100.0,1.2,0.0
325,2019-11-24 19:00,0.0,14.7,100.0,0.8,0.0
326,2019-11-24 20:00,0.0,14.4,100.0,0.8,0.0
327,2019-11-24 21:00,0.0,14.4,100.0,1.0,0.0
328,2019-11-24 22:00,0.0,14.2,100.0,0.5,0.0
329,2019-11-24 23:00,0.0,14.1,100.0,1.0,0.0
330,2019-11-25 00:00,0.0,14.3,100.0,0.8,0.0
331,2019-11-25 01:00,0.0,13.9,100.0,0.7,0.0
332,2019-11-25 02:00,0.0,14.5,100.0,0.6,0.0
333,2019-11-25 03:00,0.0,15.1,100.0,0.4,0.0
334,2019-11-25 04:00,0.0,15.6,100.0,0.9,0.0
335,2019-11-25 05:00,0.0,17.6,96.3,1.0,0.0
336,2019-11-25 06:00,0.0,20.0,77.2,1.2,0.0
337,2019-11-25 07:00,0.0,21.6,69.6,1.8,0.0
338,2019-11-25 08:00,0.0,21.2,70.2,1.8,0.0
339,2019-11-25 09:00,0.0,21.5,69.2,1.6,0.0
340,2019-11-25 10:00,0.0,22.0,65.6,1.5,0.0
341,2019-11-25 11:00,0.0,20.8,71.5,1.5,0.0
342,2019-11-25 12:00,0.0,18.9,92.8,1.5,0.0
343,2019-11-25 13:00,0.0,17.7,100.0,1.5,0.0
344,2019-11-25 14:00,0.0,17.1,100.0,1.2,0.0
345,2019-11-25 15:00,0.0,16.9,100.0,1.1,0.0
346,2019-11-25 16:00,0.0,16.8,100.0,1.7,0.0
347,2019-11-25 17:00,0.0,16.3,100.0,0.7,0.0
348,2019-11-25 18:00,0.0,16.0,100.0,0.8,0.0
349,2019-11-25 19:00,0.0,16.2,100.0,0.7,0.0
350,2019-11-25 20:00,0.0,16.1,100.0,0.8,0.0
351,2019-11-25 21:00,0.0,15.8,97.4,0.9,0.0
352,2019-11-25 22:00,0.0,15.9,92.5,1.0,0.0
353,2019-11-25 23:00,0.0,15.6,93.1,1.1,0.0
354,2019-11-26 00:00,0.0,15.6,94.5,1.0,0.0
355,2019-11-26 01:00,0.0,15.3,97.0,0.9,0.0
356,2019-11-26 02:00,0.0,15.0,92.0,0.7,0.0
357,2019-11-26 03:00,0.0,16.4,89.3,0.8,0.0
358,2019-11-26 04:00,0.0,18.3,75.0,1.3,0.0
359,2019-11-26 05:00,0.0,19.6,72.2,1.5,0.0
360,2019-11-26 06:00,0.0,21.0,64.1,2.1,0.0
361,2019-11-26 07:00,0.0,22.2,59.9,2.2,0.0
362,2019-11-26 08:00,0.0,23.0,55.4,1.8,0.0
363,2019-11-26 09:00,0.0,23.1,55.2,2.0,0.0
364,2019-11-26 10:00,0.0,22.7,57.4,1.8,0.0
